series,date,division,index
growth_mom,2015-10-01,10,1.613
growth_mom,2015-11-01,10,-7.281
growth_mom,2015-12-01,10,-4.748
growth_mom,2016-01-01,10,-5.861
growth_mom,2016-02-01,10,-8.196
growth_mom,2016-03-01,10,20.383
growth_mom,2016-04-01,10,-7.18
growth_mom,2016-05-01,10,3.208
growth_mom,2016-06-01,10,-0.906
growth_mom,2016-07-01,10,6.772
growth_mom,2016-08-01,10,7.398
growth_mom,2016-09-01,10,-3.31
growth_mom,2016-10-01,10,6.605
growth_mom,2016-11-01,10,1.034
growth_mom,2016-12-01,10,-6.62
growth_mom,2017-01-01,10,-7.082
growth_mom,2017-02-01,10,-1.643
growth_mom,2017-03-01,10,6.547
growth_mom,2017-04-01,10,5.249
growth_mom,2017-05-01,10,0.083
growth_mom,2017-06-01,10,-6.221
growth_mom,2017-07-01,10,22.416
growth_mom,2017-08-01,10,-4.1
growth_mom,2017-09-01,10,-3.494
growth_mom,2017-10-01,10,4.022
growth_mom,2017-11-01,10,1.249
growth_mom,2017-12-01,10,3.172
growth_mom,2018-01-01,10,-6.909
growth_mom,2018-02-01,10,-15.197
growth_mom,2018-03-01,10,11.381
growth_mom,2018-04-01,10,2.903
growth_mom,2018-05-01,10,-1.027
growth_mom,2018-06-01,10,-6.089
growth_mom,2018-07-01,10,13.822
growth_mom,2018-08-01,10,1.593
growth_mom,2018-09-01,10,1.604
growth_mom,2018-10-01,10,-0.606
growth_mom,2018-11-01,10,-3.252
growth_mom,2018-12-01,10,3.398
growth_mom,2019-01-01,10,-2.965
growth_mom,2019-02-01,10,-11.696
growth_mom,2019-03-01,10,11.777
growth_mom,2019-04-01,10,0.105
growth_mom,2019-05-01,10,-0.626
growth_mom,2019-06-01,10,-6.683
growth_mom,2019-07-01,10,10.012
growth_mom,2019-08-01,10,3.137
growth_mom,2019-09-01,10,1.089
growth_mom,2019-10-01,10,-1.237
growth_mom,2019-11-01,10,-2.193
growth_mom,2019-12-01,10,1.386
growth_mom,2020-01-01,10,-9.023
growth_mom,2020-02-01,10,-1.585
growth_mom,2020-03-01,10,-3.41
growth_mom,2020-04-01,10,11.433
growth_mom,2020-05-01,10,5.549
growth_mom,2020-06-01,10,2.926
growth_mom,2020-07-01,10,1.249
growth_mom,2020-08-01,10,1.394
growth_mom,2020-09-01,10,0.352
growth_mom,2020-10-01,10,-9.827
growth_mom,2020-11-01,10,-8.031
growth_mom,2020-12-01,10,1.519
growth_mom,2021-01-01,10,0.04
growth_mom,2021-02-01,10,-10.084
growth_mom,2021-03-01,10,12.98
growth_mom,2021-04-01,10,6.751
growth_mom,2021-05-01,10,-3.285
growth_mom,2021-06-01,10,8.008
growth_mom,2021-07-01,10,-1.866
growth_mom,2021-08-01,10,4.787
growth_mom,2021-09-01,10,6.895
growth_mom,2021-10-01,10,-6.304
growth_mom,2021-11-01,10,-4.222
growth_mom,2021-12-01,10,-1.013
growth_mom,2022-01-01,10,-3.285
growth_mom,2022-02-01,10,-10.753
growth_mom,2022-03-01,10,10.676
growth_mom,2022-04-01,10,5.901
growth_mom,2022-05-01,10,-2.335
growth_mom,2022-06-01,10,3.748
growth_mom,2022-07-01,10,3.093
growth_mom,2022-08-01,10,7.203
growth_mom,2022-09-01,10,3.015
growth_mom,2022-10-01,10,-6.344
growth_mom,2022-11-01,10,-3.005
